bampo	Lithang	Cone	Lhasa	Dege
lj0005_019	9@222a5	103@244b3	9@319b6	9@231a4
lj0005_020	9@231a1	103@255b3	9@332b7	9@240a4
lj0005_021	9@241b2	103@268b4	9@348a2	9@251a3
lj0005_022	9@250b7	103@280a2	9@361a7	9@261a1
lj0005_023	9@260b4	103@291b6	9@365b4	9@271a7
lj0005_024	9@270a8	103@302b2	9@389b5	9@280a5
lj0005_025	9@280b1	103@315a1	9@403b5	9@289b3
lj0005_026	9@290b3	103@326a5	9@417b5	9@299a2
lj0005_027	9@301a3	103@338a2	9@432a2	9@309a2
lj0005_028	9@311a7	103@349a5	9@446a5	9@318a7
lj0006_001	10@1b2	104@1b2	10@1b1	10@1b1
lj0006_002	10@14a5	104@17b3	10@19b5	10@13a7
lj0006_003	10@28a7	104@33b6	10@38a7	10@27a5
lj0006_004	10@44b5	104@52b7	10@60b5	10@41b3
lj0006_005	10@55b8	104@66a2	10@76a6	10@51b2
lj0006_006	10@68b6	104@81a7	10@94b2	10@63a2
lj0006_007	10@81a6	104@96b2	10@112a7	10@74a5
lj0006_008	10@93b8	104@111b4	10@130a7	10@85b3
lj0006_009	10@106b1	104@126a8	10@148b7	10@97a3
lj0006_010	10@118a7	104@140a1	10@166b1	10@108a3
lj0006_011	10@132b3	104@155b7	10@187a7	10@121a3
lj0006_012	10@145a5	104@170b6	10@207a5	10@133a5
lj0006_013	10@157b7	104@184b7	10@225b6	10@144b7
lj0006_014	10@170a3	104@198a3	10@242a6	10@156b6
lj0006_015	10@181b7	104@210b5	10@257b4	10@168a2
lj0006_016	10@194a1	104@223a6	10@273a6	10@178b4
lj0006_017	10@207b1	104@238a5	10@292b2	10@192a2
lj0006_018	10@220a2	104@252a2	10@310a6	10@205a3
lj0006_019	10@233a4	104@266a5	10@328b3	10@217b6
lj0006_020	10@244b8	104@278b7	10@345a4	10@229a1
lj0006_021	10@258a1	104@292a6	10@363a7	10@237a5
lj0006_022	10@269a1	104@305a1	10@379b6	10@252a1
lj0006_023	10@279a8	104@316a7	10@394a7	10@261b7
lj0006_024	10@291b1	104@330a1	10@410b5	10@273a3
lj0006_025	10@300a8	104@340a2	10@423a4	10@281a2
lj0006_026	10@309b3	104@350b1	10@435b7	10@289b3
lj0006_027	10@319b1	104@362a2	10@449b5	10@299a6
lj006_028	11@1b1	105@1b1	11@1b1	11@1b1
lj006_029	11@12b6	105@15a5	11@19b4	11@13a4
lj006_030	11@22b7	105@28b6	11@36a1	11@24a6
lj006_031	11@34b4	105@44a5	11@54a7	11@37a2
